,Title,Zone,Price,Size (m²),Status
139,"T2 com Terraços - Campo de Ourique, construção de 2018",               Campo de Ourique,620000,96.0,Recuperado
140,Excelente apartamento T3 na conceituada urbanização da Anta da Agualva,               Urbanização da Anta (Agualva),275000,167.0,Recuperado
141,"Apartamento T3, Albufeira Green Apartments - Condominio privado",               Correeira (Albufeira),430000,154.0,Em construção
142,Apartment,               Praia,352000,130.0,Recuperado
143,Apartment,               Santo António,315000,215.0,Usado
144,Apartment,               Alvide,335000,71.0,Novo
145,Apartamento T3,               Aver-O-Mar,3,150.0,Usado
146,Apartamento T2,               Vila do Conde,2,110.0,Renovado
147,Apartamento T3+1 em Vila do Conde,               Vila do Conde,31,141.0,Usado
148,Apartamento T3 vista de Mar,               Póvoa de Varzim,3,125.0,Usado
149,"Apartamento T2, Albufeira Green Apartments - Condominio privado",               Albufeira e Olhos de Água,505000,239.0,Em construção
150,Apartamento T3 no Parque da Devesa,               Vila Nova de Famalicão e Calendário,3,176.0,Usado
151,Apartamento T3,               Ocidental (Calendário),3,160.0,Novo
152,"Apartamento Remodelado com óptimos acabamentos, ao centro da Maia.",               Cidade da Maia,165000,105.0,Renovado
153,"Apartamento T2, Parede",               Carcavelos e Parede,1600,78.0,Usado
154,Novo Apartamento T2 com Varanda à Santa Rita,               Monte da Costa,175000,100.0,Em construção
155,"Apartamento T3 com terraço de acesso privativo em Duplex na cobertura, Seixal (Grande Lisboa) em condomínio fechado com piscina panorâmica na cobertura",               Quinta da Trindade   (Seixal),924000,310.0,Em construção
156,"Apartamento T2, Albufeira, com boas varandas em condomínio fechado com piscina e jardim em bairro residencial calmo",               Correeira (Albufeira),309000,120.0,Em construção
157,Penthouse com Varanda 84m2 entre Matosinhos Sul e o Parque da Cidade,               Matosinhos e Leça da Palmeira,725000,263.0,Novo
158,Espectacular apartamento T4 no centro da Maia,               Centro (Maia),435000,176.0,Usado
159,T3 em condomínio de luxo com vista mar na Foz do Douro,               Foz (Foz do Douro),740000,156.0,Usado
160,Empreendimento Jardins Efanor,               São Mamede de Infesta e Senhora da Hora,683638,261.0,Usado
161,T4+1 Duplex Pinhais da Foz,               Aldoar,1250000,367.0,Usado
162,T2 Matosinhos Sul primeira linha de mar,               Matosinhos-Sul (Matosinhos),550000,123.0,Usado
163,T5 no Palácio da Enseada em Matosinhos Sul,               Matosinhos e Leça da Palmeira,1100000,286.0,Usado
164,Apartamento Triplex T3 para Venda na Figueira da Foz,               Figueira da Foz (São Julião (Figueira da Foz)),,225.0,Usado
165,Apartamento T3 em Construção para Venda em Braga,               Real,,135.0,Em construção
166,Apartamento T2 em Construção para Venda em Braga,               Real,,103.0,Em construção
167,"T2 com Terraços - Campo de Ourique, construção de 2018",               Campo de Ourique,620000,96.0,Recuperado
168,Excelente apartamento T3 na conceituada urbanização da Anta da Agualva,               Urbanização da Anta (Agualva),275000,167.0,Recuperado
169,"Apartamento T3, Albufeira Green Apartments - Condominio privado",               Correeira (Albufeira),430000,154.0,Em construção
170,Apartment,               Cooperativa dos Arquitectos (Aldoar),550,100.0,Usado
171,Apartment,               Centro (São João do Souto),695,80.0,Usado
172,Apartment,               Av. Visconde Valmor,315000,83.0,Usado
173,Apartamento T3,               Aver-O-Mar,3,150.0,Usado
174,Apartamento T2,               Vila do Conde,2,110.0,Renovado
175,Apartamento T3+1 em Vila do Conde,               Vila do Conde,31,141.0,Usado
176,Apartamento T3 vista de Mar,               Póvoa de Varzim,3,125.0,Usado
177,"Apartamento T2, Albufeira Green Apartments - Condominio privado",               Albufeira e Olhos de Água,505000,239.0,Em construção
178,Apartamento T3 no Parque da Devesa,               Vila Nova de Famalicão e Calendário,3,176.0,Usado
179,Apartamento T3,               Ocidental (Calendário),3,160.0,Novo
180,"Apartamento Remodelado com óptimos acabamentos, ao centro da Maia.",               Cidade da Maia,165000,105.0,Renovado
181,"Apartamento T2, Parede",               Carcavelos e Parede,1600,78.0,Usado
182,Novo Apartamento T2 com Varanda à Santa Rita,               Monte da Costa,175000,100.0,Em construção
183,"Apartamento T3 com terraço de acesso privativo em Duplex na cobertura, Seixal (Grande Lisboa) em condomínio fechado com piscina panorâmica na cobertura",               Quinta da Trindade   (Seixal),924000,310.0,Em construção
184,"Apartamento T2, Albufeira, com boas varandas em condomínio fechado com piscina e jardim em bairro residencial calmo",               Correeira (Albufeira),309000,120.0,Em construção
185,Penthouse com Varanda 84m2 entre Matosinhos Sul e o Parque da Cidade,               Matosinhos e Leça da Palmeira,725000,263.0,Novo
186,Espectacular apartamento T4 no centro da Maia,               Centro (Maia),435000,176.0,Usado
187,T3 em condomínio de luxo com vista mar na Foz do Douro,               Foz (Foz do Douro),740000,156.0,Usado
188,Empreendimento Jardins Efanor,               São Mamede de Infesta e Senhora da Hora,683638,261.0,Usado
